time,open,high,low,close,tick_volume,spread,real_volume
2026-03-31 08:00:00,4564.89,4570.65,4547.84,4550.36,4445,4,0
2026-03-31 08:15:00,4550.39,4568.02,4550.08,4561.41,3812,4,0
2026-03-31 08:30:00,4561.44,4579.92,4558.74,4577.01,5546,4,0
2026-03-31 08:45:00,4577.01,4581.81,4567.05,4568.95,5276,4,0
2026-03-31 09:00:00,4568.95,4569.17,4556.47,4559.3,5752,4,0
2026-03-31 09:15:00,4559.42,4564.55,4553.27,4560.76,5758,4,0
2026-03-31 09:30:00,4560.76,4565.76,4556.08,4558.86,4733,4,0
2026-03-31 09:45:00,4558.86,4561.64,4554.3,4557.16,4193,4,0
2026-03-31 10:00:00,4557.16,4563.91,4550.09,4552.6,5068,4,0
2026-03-31 10:15:00,4552.6,4556.63,4543.24,4552.22,5375,4,0
2026-03-31 10:30:00,4552.22,4561.21,4551.93,4559.68,4535,4,0
2026-03-31 10:45:00,4559.68,4565.64,4556.87,4564.43,4928,4,0
2026-03-31 11:00:00,4564.43,4573.37,4560.4,4565.95,5981,4,0
2026-03-31 11:15:00,4565.95,4572.67,4564.72,4572.27,4844,4,0
2026-03-31 11:30:00,4572.32,4575.21,4567.65,4571.38,4610,4,0
2026-03-31 11:45:00,4571.39,4574.21,4567.07,4568.56,4408,4,0
2026-03-31 12:00:00,4568.56,4572.37,4562.96,4567.57,4197,4,0
2026-03-31 12:15:00,4567.55,4570.54,4561.25,4562.05,4366,4,0
2026-03-31 12:30:00,4562.11,4562.31,4550.19,4555.53,5914,4,0
2026-03-31 12:45:00,4555.59,4562.49,4551.62,4555.59,4801,4,0
2026-03-31 13:00:00,4555.59,4561.81,4555.16,4556.94,4472,4,0
2026-03-31 13:15:00,4556.94,4561.09,4555.69,4560.49,3687,4,0
2026-03-31 13:30:00,4560.48,4560.79,4529.49,4541.09,6567,4,0
2026-03-31 13:45:00,4541.11,4552.77,4540.24,4546.96,5677,4,0
2026-03-31 14:00:00,4546.94,4563.22,4541.01,4551.45,7010,4,0
2026-03-31 14:15:00,4551.45,4583.38,4549.49,4575.31,8023,4,0
2026-03-31 14:30:00,4575.31,4593.23,4568.77,4591.96,6852,4,0
2026-03-31 14:45:00,4591.96,4593.05,4576.72,4582.26,7005,4,0
2026-03-31 15:00:00,4582.26,4597.56,4574.62,4575.64,7232,4,0
2026-03-31 15:15:00,4575.64,4582.78,4571.33,4579.33,7880,4,0
2026-03-31 15:30:00,4579.33,4589.95,4577.55,4579.17,6121,4,0
2026-03-31 15:45:00,4579.19,4581.53,4569.15,4574.74,5817,4,0
2026-03-31 16:00:00,4574.74,4583.5,4567.84,4581.32,7287,4,0
2026-03-31 16:15:00,4581.32,4587.91,4573.15,4573.27,5896,4,0
2026-03-31 16:30:00,4573.27,4589.46,4568.43,4587.78,7832,4,0
2026-03-31 16:45:00,4587.78,4609.93,4585.15,4607.11,7919,4,0
2026-03-31 17:00:00,4607.03,4625.32,4603.8,4615.24,8961,4,0
2026-03-31 17:15:00,4615.24,4619.38,4602.78,4618.98,8376,4,0
2026-03-31 17:30:00,4618.98,4630.13,4604.18,4608.02,8437,4,0
2026-03-31 17:45:00,4608.01,4611.13,4594.99,4599.04,8311,4,0
2026-03-31 18:00:00,4599.04,4623.99,4599.04,4622.93,7624,4,0
2026-03-31 18:15:00,4622.94,4625.46,4607.75,4610.15,7555,4,0
2026-03-31 18:30:00,4610.15,4621.44,4607.16,4620.92,7496,4,0
2026-03-31 18:45:00,4620.92,4623.75,4608.13,4609.5,7079,4,0
2026-03-31 19:00:00,4609.5,4619.96,4606.95,4611.99,6244,4,0
2026-03-31 19:15:00,4611.99,4618.72,4609.32,4617.85,5412,4,0
2026-03-31 19:30:00,4617.85,4651.65,4615.13,4641.69,8480,4,0
2026-03-31 19:45:00,4641.69,4650.38,4630.98,4638.14,10869,4,0
2026-03-31 20:00:00,4638.21,4655.78,4636.36,4642.92,9232,4,0
2026-03-31 20:15:00,4642.92,4658.15,4640.71,4648.82,7483,4,0
2026-03-31 20:30:00,4648.82,4663.66,4645.55,4660.42,8239,4,0
2026-03-31 20:45:00,4660.42,4667.28,4653.38,4654.99,7482,4,0
2026-03-31 21:00:00,4654.6,4668.94,4653.59,4665.81,6567,4,0
2026-03-31 21:15:00,4665.77,4668.84,4659.91,4664.49,6184,4,0
2026-03-31 21:30:00,4664.49,4671.12,4660.0,4667.63,5874,4,0
2026-03-31 21:45:00,4667.61,4670.66,4663.68,4667.47,5106,4,0
2026-03-31 22:00:00,4667.47,4676.15,4661.83,4671.22,6554,4,0
2026-03-31 22:15:00,4671.22,4681.24,4668.59,4672.7,5483,4,0
2026-03-31 22:30:00,4672.76,4683.5,4672.25,4680.83,5333,4,0
2026-03-31 22:45:00,4680.83,4685.67,4679.5,4682.65,6035,4,0
2026-04-01 01:00:00,4667.56,4681.52,4662.91,4668.99,2696,4,0
2026-04-01 01:15:00,4668.96,4686.61,4663.08,4674.54,2996,4,0
2026-04-01 01:30:00,4674.54,4696.44,4671.12,4684.68,3851,4,0
2026-04-01 01:45:00,4684.68,4686.92,4661.63,4680.84,4763,4,0
2026-04-01 02:00:00,4680.84,4682.59,4672.85,4676.29,2945,4,0
2026-04-01 02:15:00,4676.29,4684.39,4671.91,4682.42,3154,4,0
2026-04-01 02:30:00,4682.35,4694.89,4681.81,4690.98,3417,4,0
2026-04-01 02:45:00,4690.98,4700.14,4688.43,4696.22,3843,4,0
2026-04-01 03:00:00,4696.26,4704.98,4693.42,4703.36,5213,4,0
2026-04-01 03:15:00,4703.36,4721.8,4702.66,4721.74,5434,4,0
2026-04-01 03:30:00,4721.74,4722.36,4700.05,4706.52,4657,4,0
2026-04-01 03:45:00,4706.52,4719.04,4704.55,4710.88,4695,4,0
2026-04-01 04:00:00,4710.88,4724.23,4689.56,4708.06,6917,4,0
2026-04-01 04:15:00,4708.06,4708.32,4692.46,4708.27,5859,4,0
2026-04-01 04:30:00,4708.26,4708.26,4681.47,4687.85,5773,4,0
2026-04-01 04:45:00,4687.85,4697.0,4686.13,4692.77,5471,4,0
2026-04-01 05:00:00,4692.73,4700.48,4686.84,4693.88,5281,4,0
2026-04-01 05:15:00,4693.88,4697.64,4683.45,4687.84,3678,4,0
2026-04-01 05:30:00,4687.84,4690.33,4678.28,4681.71,4749,4,0
2026-04-01 05:45:00,4681.71,4689.63,4678.49,4684.46,4309,4,0
2026-04-01 06:00:00,4684.46,4692.66,4682.66,4689.62,4281,4,0
2026-04-01 06:15:00,4689.62,4694.22,4684.47,4687.44,3547,4,0
2026-04-01 06:30:00,4687.39,4688.71,4683.12,4687.03,2769,4,0
2026-04-01 06:45:00,4687.03,4688.7,4679.73,4681.91,3200,4,0
2026-04-01 07:00:00,4681.91,4682.05,4673.03,4673.91,3204,4,0
2026-04-01 07:15:00,4673.91,4674.09,4667.06,4672.43,3313,4,0
2026-04-01 07:30:00,4672.43,4677.06,4669.03,4676.91,2787,4,0
2026-04-01 07:45:00,4676.91,4681.72,4672.94,4676.43,2571,4,0
2026-04-01 08:00:00,4676.45,4684.79,4674.9,4682.89,2980,4,0
2026-04-01 08:15:00,4682.89,4690.11,4680.55,4686.28,3570,4,0
2026-04-01 08:30:00,4686.28,4703.52,4686.28,4702.18,4659,4,0
2026-04-01 08:45:00,4702.18,4703.44,4683.77,4684.15,4342,4,0
2026-04-01 09:00:00,4684.2,4697.56,4682.56,4697.56,4666,4,0
2026-04-01 09:15:00,4697.56,4711.36,4692.8,4709.33,5018,4,0
2026-04-01 09:30:00,4709.27,4712.65,4702.29,4708.55,5517,4,0
2026-04-01 09:45:00,4708.55,4733.22,4708.49,4730.62,6209,4,0
2026-04-01 10:00:00,4730.62,4732.71,4714.35,4715.31,5947,4,0
2026-04-01 10:15:00,4715.29,4725.62,4713.04,4723.0,4903,4,0
2026-04-01 10:30:00,4723.0,4747.67,4722.07,4730.78,6759,4,0
2026-04-01 10:45:00,4730.78,4732.77,4709.61,4712.95,6871,4,0
2026-04-01 11:00:00,4712.95,4726.46,4710.5,4719.24,5663,4,0
